"Zaman damgası","What is your gender?","What is your age ?","Please enter your department ? (STAT, METE, ME etc.)","What is your faculty ?","What is your educational level ?","What is your CGPA ? (Please CHOOSE ""pass the question"" if you are a PREPARATION student.)","What is your individual monthly income ? (TL.)","How happy do you feel right now ?","How do you feel about the department you are in ?","How happy are you with your monthly income ?","How happy are you with the faculty members working in your department ?","How do you feel about living in Ankara ?","How do you feel about the online courses during the pandemic process ?","How do you feel about your social environment ?","How do you feel about activities that your university offers you ? [Sport Facilities]","How do you feel about activities that your university offers you ? [Spring Fest]","How do you feel about activities that your university offers you ? [University Clubs]","How do you feel about activities that your university offers you ? [University Cafeteria]","Please mark the most appropriate options: [I mostly think about past.]","Please mark the most appropriate options: [I like dark areas.]","Please mark the most appropriate options: [I mostly spend time with myself.]","Please mark the most appropriate options: [I mostly rely on people.]","Please mark the most appropriate options: [I rarely participate in social activities.]","Please mark the most appropriate options: [I avoid from communicating with strangers.]","Please mark the most appropriate options: [I always feel exhausted.]","Please mark the most appropriate options: [I want to change activities that I do in my leisure time.]","Please mark the most appropriate options: [I am happy with my appearance.]","Please mark the most appropriate options: [I am a pessimistic person. (I always see the bad side of the events.)]"
"2021/12/26 5:05:29 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Happy","Happy","Happy","Happy","Unhappy","Happy","Happy","Happy","Happy","Unhappy","Neutral","Neutral","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree"
"2021/12/26 5:08:45 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","2.50 – 2.99","0.00 – 999","Very Unhappy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Very Unhappy","Happy","Very Unhappy","Happy","Happy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Agree","Strongly Agree","Agree","Agree","Strongly Agree"
"2021/12/26 5:24:12 ÖS GMT+2","Male","21 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Moderately Happy","Happy","Unhappy","Happy","Moderately Happy","Very Unhappy","Happy","Happy","Happy","Moderately Happy","Unhappy","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Disagree"
"2021/12/26 5:26:40 ÖS GMT+2","Female","18 - 21","İd","Faculty of Architecture","Undergraduate","3.00 – 3.49","0.00 – 999","Happy","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Very Unhappy","Moderately Happy","Unhappy","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree"
"2021/12/26 5:26:49 ÖS GMT+2","Male","21 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1000 – 1499","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
"2021/12/26 5:29:14 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","2.00 – 2.49","0.00 – 999","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Agree","Agree","Agree","Disagree","Agree","Neutral","Strongly Agree","Agree","Disagree","Disagree"
"2021/12/26 5:30:14 ÖS GMT+2","Male","18 - 21","HIST","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","2500 +","Very Unhappy","Unhappy","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","","","Moderately Happy","Very Unhappy","Agree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Disagree","Neutral"
"2021/12/26 5:32:20 ÖS GMT+2","Male","18 - 21","Ce","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Unhappy","Unhappy","Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Strongly Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Disagree"
"2021/12/26 5:42:04 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","1000 – 1499","Unhappy","Happy","Unhappy","Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Happy","Moderately Happy","Neutral","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Neutral"
"2021/12/26 5:51:01 ÖS GMT+2","Male","18 - 21","CE","Faculty of Engineering","Undergraduate","Pass the question","2000 – 2499","Unhappy","Unhappy","Happy","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy;Happy","Unhappy","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Agree","Strongly Disagree"
"2021/12/26 5:51:27 ÖS GMT+2","Male","18 - 21","HIST ","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","1500 – 1999","Moderately Happy","Moderately Happy","Verry Happy","Unhappy","Very Unhappy","Very Unhappy","Unhappy","Unhappy","Very Unhappy","Unhappy","Unhappy","Agree","Disagree","Strongly Agree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree"
"2021/12/26 6:05:20 ÖS GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1000 – 1499","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Verry Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Strongly Agree","Neutral"
"2021/12/26 6:45:40 ÖS GMT+2","Male","21 - 25","CE","Faculty of Engineering","Undergraduate","2.50 – 2.99","1500 – 1999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Happy","Unhappy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Neutral"
"2021/12/26 7:20:39 ÖS GMT+2","Female","18 - 21","CE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Unhappy","Happy","Unhappy","Happy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Neutral","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree"
"2021/12/26 7:24:20 ÖS GMT+2","Female","21 - 25","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","0.00 – 999","Happy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Unhappy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Neutral"
"2021/12/26 8:17:43 ÖS GMT+2","Male","18 - 21","FLE","Faculty of Education","Undergraduate","3.50 – 4.00","1000 – 1499","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Moderately Happy","Verry Happy","Very Unhappy","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Agree"
"2021/12/26 10:24:31 ÖS GMT+2","Female","18 - 21","STAT","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","0.00 – 999","Unhappy","Unhappy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Neutral","Agree","Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Neutral","Neutral"
"2021/12/27 7:38:13 ÖÖ GMT+2","Male","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","Pass the question","2500 +","Happy","Verry Happy","Happy","Verry Happy","Verry Happy","Unhappy","Unhappy","Moderately Happy","Verry Happy","Happy","Moderately Happy","Strongly Agree","Agree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree"
"2021/12/27 7:38:42 ÖÖ GMT+2","Female","21 - 25","CHEM","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","0.00 – 999","Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Happy","Happy","Moderately Happy","Verry Happy","Moderately Happy","Happy","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Disagree","Neutral","Agree","Strongly Disagree"
"2021/12/27 7:39:41 ÖÖ GMT+2","Female","18 - 21","Chem","Faculty of Arts and Sciences","Undergraduate","Pass the question","1000 – 1499","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Very Unhappy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Neutral","Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Disagree"
"2021/12/27 7:40:58 ÖÖ GMT+2","Female","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Very Unhappy","Moderately Happy","Happy","Unhappy","Happy","Very Unhappy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Agree"
"2021/12/27 7:41:01 ÖÖ GMT+2","Female","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","Pass the question","1500 – 1999","Very Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","","","","","Agree","Neutral","Neutral","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree"
"2021/12/27 7:42:16 ÖÖ GMT+2","Male","18 - 21","Chem","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Very Unhappy","Happy","Very Unhappy","Verry Happy","Verry Happy","Moderately Happy","Verry Happy","Very Unhappy","Very Unhappy","Verry Happy","Unhappy","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree"
"2021/12/27 7:51:12 ÖÖ GMT+2","Male","18 - 21","CHEM ","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Happy","Moderately Happy","Verry Happy","Moderately Happy","Unhappy","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Strongly Agree","Neutral"
"2021/12/27 8:02:27 ÖÖ GMT+2","Male","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","2000 – 2499","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","","","Unhappy","Unhappy","Neutral","Neutral","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Agree"
"2021/12/27 8:06:04 ÖÖ GMT+2","Female","21 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2000 – 2499","Very Unhappy","Unhappy","Happy","Unhappy","Verry Happy","Moderately Happy","Happy","Moderately Happy","Verry Happy","Moderately Happy","Very Unhappy;Unhappy","Strongly Agree","Neutral","Agree","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Agree"
"2021/12/27 8:07:25 ÖÖ GMT+2","Male","21 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","0.00 – 999","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Strongly Agree"
"2021/12/27 8:18:31 ÖÖ GMT+2","Female","21 - 25","Chem","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","0.00 – 999","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Strongly Agree","Agree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Agree","Neutral","Disagree"
"2021/12/27 8:32:55 ÖÖ GMT+2","Female","21 - 25","PSY","Faculty of Arts and Sciences","Undergraduate","3.50 – 4.00","2500 +","Moderately Happy","Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Neutral","Agree","Strongly Agree","Disagree","Agree"
"2021/12/27 8:37:20 ÖÖ GMT+2","Male","21 - 25","Phys","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","0.00 – 999","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Very Unhappy","Unhappy","Very Unhappy","Moderately Happy","Very Unhappy","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Strongly Agree","Disagree","Disagree"
"2021/12/27 8:48:15 ÖÖ GMT+2","Male","21 - 25","CHEM","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","0.00 – 999","Moderately Happy","Happy","Very Unhappy","Moderately Happy","Happy","Very Unhappy","Happy","Moderately Happy","Happy","Happy","Unhappy","Agree","Agree","Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Neutral","Neutral","Neutral"
"2021/12/27 8:50:52 ÖÖ GMT+2","Male","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","1500 – 1999","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Moderately Happy","Happy","Very Unhappy;Verry Happy","Verry Happy","Moderately Happy","Agree","Disagree","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Neutral"
"2021/12/27 8:52:59 ÖÖ GMT+2","Male","21 - 25","psy","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","2500 +","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Happy","Unhappy","Moderately Happy","Unhappy;Moderately Happy","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Strongly Agree","Agree","Neutral"
"2021/12/27 9:00:42 ÖÖ GMT+2","Male","21 - 25","HIST","Faculty of Arts and Sciences","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Moderately Happy","Unhappy","Moderately Happy","Happy","Unhappy","Unhappy","Unhappy","Happy","Happy","Very Unhappy","Neutral","Disagree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Disagree"
"2021/12/27 9:00:54 ÖÖ GMT+2","Male","18 - 21","MATH","Faculty of Arts and Sciences","Undergraduate","Pass the question","1000 – 1499","Unhappy","Happy","Unhappy","Moderately Happy","Happy","Unhappy","Happy","Moderately Happy","Happy","Verry Happy","Moderately Happy","Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree"
"2021/12/27 9:05:16 ÖÖ GMT+2","Female","18 - 21","MATH","Faculty of Arts and Sciences","Undergraduate","Pass the question","1500 – 1999","Unhappy","Moderately Happy","Very Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Very Unhappy","Strongly Agree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Disagree","Agree"
"2021/12/27 9:08:46 ÖÖ GMT+2","Male","25 +","Hist","Faculty of Arts and Sciences","Graduate","3.00 – 3.49","2500 +","Moderately Happy","Unhappy","Happy","Unhappy","Very Unhappy","Happy","Unhappy","Unhappy","Unhappy","Unhappy","Unhappy","Neutral","Agree","Agree","Strongly Disagree","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Agree"
"2021/12/27 9:14:11 ÖÖ GMT+2","Male","18 - 21","Mathematics","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Happy","Verry Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Happy","Happy","Disagree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Neutral","Agree","Strongly Disagree"
"2021/12/27 9:41:31 ÖÖ GMT+2","Female","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","","0.00 – 999","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Unhappy","Unhappy","Moderately Happy","Very Unhappy","Agree","Agree","Neutral","Disagree","Agree","Disagree","Strongly Agree","Neutral","Disagree","Agree"
"2021/12/27 9:43:21 ÖÖ GMT+2","Female","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Happy","Very Unhappy","Happy","Very Unhappy;Moderately Happy","Verry Happy","Moderately Happy","Very Unhappy","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Agree"
"2021/12/27 9:50:59 ÖÖ GMT+2","Female","18 - 21","Math","Faculty of Arts and Sciences","","1.00 – 1.99","1500 – 1999","Very Unhappy","Verry Happy","Verry Happy","Moderately Happy","Very Unhappy","Very Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Strongly Agree","Neutral"
"2021/12/27 10:16:18 ÖÖ GMT+2","Female","18 - 21","FLE","Faculty of Education","Undergraduate","Pass the question","0.00 – 999","Happy","Happy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Neutral"
"2021/12/27 10:25:37 ÖÖ GMT+2","Female","18 - 21","Chem","Faculty of Arts and Sciences","Undergraduate","Pass the question","0.00 – 999","Very Unhappy","Happy","Very Unhappy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Happy","Verry Happy","Verry Happy","Unhappy;Moderately Happy;Happy","Agree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree"
"2021/12/27 10:37:57 ÖÖ GMT+2","Male","18 - 21","me","Faculty of Engineering","Undergraduate","2.00 – 2.49","1000 – 1499","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"2021/12/27 10:39:53 ÖÖ GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Unhappy","Unhappy","Moderately Happy","Unhappy","Happy","Very Unhappy","Moderately Happy","Verry Happy","Verry Happy","Verry Happy","Very Unhappy","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Strongly Disagree"
"2021/12/27 10:42:21 ÖÖ GMT+2","Female","21 - 25","EME","Faculty of Education","Undergraduate","Pass the question","0.00 – 999","Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Very Unhappy","Unhappy","Very Unhappy","Very Unhappy","Very Unhappy","Very Unhappy;Unhappy","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree"
"2021/12/27 10:42:46 ÖÖ GMT+2","Female","18 - 21","ME","Faculty of Engineering","Undergraduate","3.50 – 4.00","2500 +","Moderately Happy","Moderately Happy","Happy","Unhappy","Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Very Unhappy","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","Disagree","Agree"
"2021/12/27 10:43:19 ÖÖ GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","3.50 – 4.00","0.00 – 999","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Happy","Very Unhappy","Happy","Unhappy","Moderately Happy","Verry Happy","Very Unhappy","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree"
"2021/12/27 10:48:06 ÖÖ GMT+2","Male","21 - 25","Me","Faculty of Engineering","Undergraduate","1.00 – 1.99","0.00 – 999","Moderately Happy","Moderately Happy","Very Unhappy","Very Unhappy","Happy","Very Unhappy","Very Unhappy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree"
"2021/12/27 10:48:49 ÖÖ GMT+2","Male","21 - 25","Gene","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Verry Happy","Very Unhappy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Agree","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree"
"2021/12/27 10:50:18 ÖÖ GMT+2","Female","18 - 21","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","1000 – 1499","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Happy","Moderately Happy","Happy","Moderately Happy","Neutral","Neutral","Agree","Strongly Disagree","Disagree","Disagree","Neutral","Agree","Neutral","Disagree"
"2021/12/27 10:50:42 ÖÖ GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Unhappy","Unhappy","Happy","Moderately Happy","Unhappy","Moderately Happy","Unhappy","Happy","Moderately Happy","Happy","Very Unhappy","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Disagree","Agree","Agree","Disagree"
"2021/12/27 10:51:50 ÖÖ GMT+2","Female","18 - 21","CHEM","Faculty of Arts and Sciences","Undergraduate","Pass the question","1500 – 1999","Unhappy","Moderately Happy","Unhappy","Unhappy","Happy","Unhappy","Moderately Happy","Moderately Happy","Happy","Happy","Very Unhappy","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree"
"2021/12/27 10:52:26 ÖÖ GMT+2","Male","18 - 21","ME","Faculty of Engineering","Undergraduate","3.50 – 4.00","1000 – 1499","Moderately Happy","Happy","Unhappy","Happy","Happy","Unhappy","Moderately Happy","Happy","Moderately Happy","Happy","Moderately Happy;Happy","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","","Agree","Agree"
"2021/12/27 11:11:44 ÖÖ GMT+2","Male","21 - 25","CE","Faculty of Engineering","Undergraduate","3.00 – 3.49","0.00 – 999","Moderately Happy","Unhappy","Unhappy","Unhappy","Moderately Happy","Unhappy","Moderately Happy","Moderately Happy","Unhappy;Moderately Happy","Moderately Happy","Unhappy","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Agree"
"2021/12/27 11:21:12 ÖÖ GMT+2","Female","18 - 21","ME","Faculty of Engineering","Undergraduate","3.00 – 3.49","1500 – 1999","Happy","Happy","Happy","Moderately Happy","Verry Happy","Moderately Happy","Moderately Happy","Moderately Happy","Unhappy","Happy","Happy","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Disagree","Neutral"
"2021/12/27 11:51:03 ÖÖ GMT+2","Male","21 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","2500 +","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Verry Happy","Unhappy","Happy","Unhappy;Moderately Happy","Verry Happy","Verry Happy","Unhappy","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Strongly Disagree"
"2021/12/27 3:02:21 ÖS GMT+2","Female","21 - 25","MATH","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","0.00 – 999","Moderately Happy","Unhappy","Very Unhappy","Happy","Moderately Happy","Moderately Happy","Very Unhappy","Verry Happy","Moderately Happy","Verry Happy","Happy","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree"
"2021/12/27 7:46:18 ÖS GMT+2","Male","21 - 25","CHEM","Faculty of Arts and Sciences","Undergraduate","1.00 – 1.99","2500 +","Happy","Happy","Happy","Verry Happy","Happy","Unhappy","Happy","Moderately Happy","Verry Happy","Very Unhappy","Moderately Happy","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Neutral"
"2022/01/05 4:57:09 ÖS GMT+2","Female","18 - 21","mete","Faculty of Engineering","Undergraduate","3.00 – 3.49","2500 +","Unhappy","Moderately Happy","Unhappy","Unhappy","Unhappy","Very Unhappy","Happy","Unhappy","Very Unhappy","Happy","Very Unhappy","Neutral","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Strongly Disagree"
"2022/01/05 4:57:27 ÖS GMT+2","Female","22 - 25","ChE","Faculty of Engineering","Undergraduate","2.00 – 2.49","1500 – 1999","Unhappy","Unhappy","Moderately Happy","Moderately Happy","Happy","Very Unhappy","Verry Happy","Moderately Happy","Very Unhappy","Very Unhappy","Unhappy;Moderately Happy","Neutral","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree"
"2022/01/05 4:58:10 ÖS GMT+2","Male","22 - 25","Math","Faculty of Arts and Sciences","Undergraduate","2.00 – 2.49","2500 +","Very Happy","Moderately Happy","Very Unhappy","Moderately Happy","Very Unhappy","Very Unhappy","Verry Happy","Verry Happy","Very Unhappy","Very Unhappy","Unhappy","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree"
"2022/01/05 4:58:26 ÖS GMT+2","Male","18 - 21","ME","Faculty of Engineering","","2.50 – 2.99","1500 – 1999","Very Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Verry Happy","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"2022/01/05 4:58:26 ÖS GMT+2","Male","22 - 25","Ba","Faculty of Economic and Administrative Sciences","Undergraduate","1.00 – 1.99","1500 – 1999","Happy","Verry Happy","Moderately Happy","Happy","Happy","Moderately Happy","Verry Happy","Happy","Verry Happy","Verry Happy","Moderately Happy","Agree","Agree","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Agree","Agree"
"2022/01/05 4:58:45 ÖS GMT+2","Male","22 - 25","ME","Faculty of Engineering","Undergraduate","2.50 – 2.99","2000 – 2499","Happy","Happy","Moderately Happy","Moderately Happy","Moderately Happy","Happy","Happy","Very Unhappy;Unhappy","Verry Happy","Verry Happy","Happy","Neutral","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Strongly Agree","Strongly Disagree"
